Common Name,Species,Genus,Family,Order,Class,Phylum
Scalloped hammerhead,lewini,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
Scalloped hammerhead,lewini,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
Scalloped hammerhead,lewini,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
Scalloped hammerhead,lewini,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
Scalloped hammerhead,lewini,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
Scalloped hammerhead,lewini,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
Scalloped hammerhead,lewini,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
Scalloped hammerhead,lewini,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
Scalloped hammerhead,lewini,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
Scalloped hammerhead shark,lewini,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
Scaly stingray,walga,Himantura,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
Scaly stingray,imbricata,Himantura,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
Scaly stingray,imbricata,Himantura,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
Scaly whip ray,imbricata,Himantura,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
Scaly whipray,imbricata,Himantura,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
scaly-footed small-eared shrew,squamipes,Cryptotis,Soricidae,Insectivora,Mammalia,Chordata
scaly-tailed possum,squamicaudata,Wyulda,Phalangeridae,Diprotodontia,Mammalia,Chordata
scarlet snake,coccinea,Cemophora,Colubridae,Squamata,Reptilia,Chordata
scarlet tanager,olivacea,Piranga,Fringillidae,Passeriformes,Aves,Chordata
Schaller's mouse shrew,schalleri,Myosorex,Soricidae,Insectivora,Mammalia,Chordata
Schaub's myotis,schaubi,Myotis,Vespertilionidae,Chiroptera,Mammalia,Chordata
Schelkovnikov's pine vole,schelkovnikovi,Microtus,Muridae,Rodentia,Mammalia,Chordata
Schlieffen's bat,schlieffeni,Nycticeius,Vespertilionidae,Chiroptera,Mammalia,Chordata
Schmidt's worm lizard,schmidti,Amphisbaena,Amphisbaenidae,Squamata,Reptilia,Chordata
Schmidts's big-eared bat,schmidtorum,Micronycteris,Phyllostomidae,Chiroptera,Mammalia,Chordata
Schnapper shark,galeus,Galeorhinus,Triakidae,Carcharhiniformes,Elasmobranchii,Chordata
Schneider's roundleaf bat,speoris,Hipposideros,Rhinolophidae,Chiroptera,Mammalia,Chordata
Schneider's scaly-stingray,imbricata,Himantura,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
Schneider's smooth-fronted caiman,trigonatus,Paleosuchus,Alligatoridae,Crocodilia,Reptilia,Chordata
Schomburgk's deer,schomburgki,Cervus,Cervidae,Artiodactyla,Mammalia,Chordata
School  Shark,galeus,Galeorhinus,Triakidae,Carcharhiniformes,Elasmobranchii,Chordata
School shark,sorrah,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
School shark,galeus,Galeorhinus,Triakidae,Carcharhiniformes,Elasmobranchii,Chordata
School shark,galeus,Galeorhinus,Triakidae,Carcharhiniformes,Elasmobranchii,Chordata
School shark,galeus,Galeorhinus,Triakidae,Carcharhiniformes,Elasmobranchii,Chordata
Schott's whipsnake,schotti,Masticophis,Colubridae,Squamata,Reptilia,Chordata
Schouteden's shrew,schoutedeni,Paracrocidura,Soricidae,Insectivora,Mammalia,Chordata
Schreber's yellow bat,nigrita,Scotophilus,Vespertilionidae,Chiroptera,Mammalia,Chordata
Schreiber's curly-tailed lizard,schreibersii,Leiocephalus,Tropiduridae,Squamata,Reptilia,Chordata
Schreibers's long-fingered bat,schreibersi,Miniopterus,Vespertilionidae,Chiroptera,Mammalia,Chordata
Schultz's round-eared bat,schulzi,Tonatia,Phyllostomidae,Chiroptera,Mammalia,Chordata
Schwartz's myotis,martiniquensis,Myotis,Vespertilionidae,Chiroptera,Mammalia,Chordata
scimitar-horned oryx,dammah,Oryx,Bovidae,Artiodactyla,Mammalia,Chordata
scissor-tailed flycatcher,forficatus,Tyrannus,Tyrannidae,Passeriformes,Aves,Chordata
Sclater's golden mole,sclateri,Chlorotalpa,Chrysochloridae,Insectivora,Mammalia,Chordata
Sclater's guenon,sclateri,Cercopithecus,Cercopithecidae,Primates,Mammalia,Chordata
Sclater's shrew,sclateri,Sorex,Soricidae,Insectivora,Mammalia,Chordata
Sclater's tiny mouse shrew,sclateri,Myosorex,Soricidae,Insectivora,Mammalia,Chordata
Scolloped bonnethead,corona,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
Scoophead,media,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
Scoophead shark,media,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
scorpion mud turtle,scorpioides,Kinosternon,Kinosternidae,Testudines,Reptilia,Chordata
Scott's mouse-eared bat,scotti,Myotis,Vespertilionidae,Chiroptera,Mammalia,Chordata
screaming hairy armadillo,vellerosus,Chaetophractus,Dasypodidae,Xenarthra,Mammalia,Chordata
scrub hare,saxatilis,Lepus,Leporidae,Lagomorpha,Mammalia,Chordata
Scully's tube-nosed bat,tubinaris,Murina,Vespertilionidae,Chiroptera,Mammalia,Chordata
Sculptor squirrel,simus,Glyphotes,Sciuridae,Rodentia,Mammalia,Chordata
Sea devil,birostris,Manta,Myliobatidae,Rajiformes,Elasmobranchii,Chordata
Sea eagle,aquila,Myliobatis,Myliobatidae,Rajiformes,Elasmobranchii,Chordata
Sea fox,vulpinus,Alopias,Alopiidae,Lamniformes,Elasmobranchii,Chordata
Sea fox,vulpinus,Alopias,Alopiidae,Lamniformes,Elasmobranchii,Chordata
Sea lamprey,tridentata,Lampetra,Petromyzontidae,Petromyzontiformes,Cephalaspidomorphi,Chordata
Sea lamprey,tridentata,Lampetra,Petromyzontidae,Petromyzontiformes,Cephalaspidomorphi,Chordata
Sea lamprey,marinus,Petromyzon,Petromyzontidae,Petromyzontiformes,Cephalaspidomorphi,Chordata
Sea lamprey,marinus,Petromyzon,Petromyzontidae,Petromyzontiformes,Cephalaspidomorphi,Chordata
Sea lamprey,marinus,Petromyzon,Petromyzontidae,Petromyzontiformes,Cephalaspidomorphi,Chordata
Sea lamprey,marinus,Petromyzon,Petromyzontidae,Petromyzontiformes,Cephalaspidomorphi,Chordata
Sea lamprey,marinus,Petromyzon,Petromyzontidae,Petromyzontiformes,Cephalaspidomorphi,Chordata
sea otter,lutris,Enhydra,Mustelidae,Carnivora,Mammalia,Chordata
sea otter,perspicillata,Lutrogale,Mustelidae,Carnivora,Mammalia,Chordata
Sea rat,monstrosa,Chimaera,Chimaeridae,Chimaeriformes,Holocephali,Chordata
Seal salamander,monticola,Desmognathus,Plethodontidae,Caudata,Amphibia,Chordata
Seal shark,licha,Dalatias,Dalatiidae,Squaliformes,Elasmobranchii,Chordata
Seal shark,licha,Dalatias,Dalatiidae,Squaliformes,Elasmobranchii,Chordata
Seal shark,licha,Dalatias,Dalatiidae,Squaliformes,Elasmobranchii,Chordata
Seal shark,licha,Dalatias,Dalatiidae,Squaliformes,Elasmobranchii,Chordata
Seal shark,licha,Dalatias,Dalatiidae,Squaliformes,Elasmobranchii,Chordata
seaside sparrow,maritimus,Ammodramus,Fringillidae,Passeriformes,Aves,Chordata
seaside sparrow,maritima,Ammospiza,Fringillidae,Passeriformes,Aves,Chordata
Seba's short-tailed bat,perspicillata,Carollia,Phyllostomidae,Chiroptera,Mammalia,Chordata
Sechura fox,sechurae,Pseudalopex,Canidae,Carnivora,Mammalia,Chordata
secretive dwarf squirrel,abstrusus,Prosciurillus,Sciuridae,Rodentia,Mammalia,Chordata
sedge wren,platensis,Cistothorus,Certhiidae,Passeriformes,Aves,Chordata
Seepage salamander,aeneus,Desmognathus,Plethodontidae,Caudata,Amphibia,Chordata
sei whale,borealis,Balaenoptera,Balaenopteridae,Cetacea,Mammalia,Chordata
Selangor pygmy flying squirrel,kinlochii,Petaurillus,Sciuridae,Rodentia,Mammalia,Chordata
seledang,gaurus,Bos,Bovidae,Artiodactyla,Mammalia,Chordata
Selous's mongoose,selousi,Paracynictis,Herpestidae,Carnivora,Mammalia,Chordata
Seminole bat,seminolus,Lasiurus,Vespertilionidae,Chiroptera,Mammalia,Chordata
semipalmated plover,semipalmatus,Charadrius,Charadriidae,Ciconiiformes,Aves,Chordata
semipalmated sandpiper,pusilla,Calidris,Scolopacidae,Ciconiiformes,Aves,Chordata
Semipelagic torpedo,semipelagica,Torpedo,Torpedinidae,Torpediniformes,Elasmobranchii,Chordata
Semon's roundleaf bat,semoni,Hipposideros,Rhinolophidae,Chiroptera,Mammalia,Chordata
Senegal flapshell turtle,senegalensis,Cyclanorbis,Trionychidae,Testudines,Reptilia,Chordata
Senegal galago,senegalensis,Galago,Galagonidae,Primates,Mammalia,Chordata
Senegal gerbil,pygargus,Taterillus,Muridae,Rodentia,Mammalia,Chordata
Sepia stingray,aurantiacus,Urolophus,Urolophidae,Rajiformes,Elasmobranchii,Chordata
sequoia slender salamander,kawia,Batrachoseps,Plethodontidae,Caudata,Amphibia,Chordata
Sequoyah slimy salamander,sequoyah,Plethodon,Plethodontidae,Caudata,Amphibia,Chordata
Serezkaya shrew,serezkyensis,Crocidura,Soricidae,Insectivora,Mammalia,Chordata
serotine,serotinus,Eptesicus,Vespertilionidae,Chiroptera,Mammalia,Chordata
serow,sumatraensis,Naemorhedus,Bovidae,Artiodactyla,Mammalia,Chordata
Serpent Island gecko,serpensinsula,Cyrtodactylus,Gekkonidae,Squamata,Reptilia,Chordata
Serrado Mar grass mouse,serrensis,Akodon,Muridae,Rodentia,Mammalia,Chordata
serrated hinge-back tortoise,erosa,Kinixys,Testudinidae,Testudines,Reptilia,Chordata
serrated snapping turtle,latisternum,Elseya,Chelidae,Testudines,Reptilia,Chordata
serrated tortoise,oculiferus,Psammobates,Testudinidae,Testudines,Reptilia,Chordata
serval,serval,Felis,Felidae,Carnivora,Mammalia,Chordata
serval,serval,Leptailurus,Felidae,Carnivora,Mammalia,Chordata
servaline genet,servalina,Genetta,Viverridae,Carnivora,Mammalia,Chordata
Setzer's hairy-footed gerbil,setzeri,Gerbillurus,Muridae,Rodentia,Mammalia,Chordata
Setzer's mouse-tailed dormouse,setzeri,Myomimus,Myoxidae,Rodentia,Mammalia,Chordata
seven-banded armadillo,septemcinctus,Dasypus,Dasypodidae,Xenarthra,Mammalia,Chordata
Seven-gill cowshark,cepedianus,Notorynchus,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Seven-gilled Mediterranean shark,perlo,Heptranchias,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Seven-gilled shark,cepedianus,Notorynchus,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Sevengill cow shark,perlo,Heptranchias,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Sevengill shark,cepedianus,Notorynchus,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Sevengill shark,cepedianus,Notorynchus,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Sevengill shark,cepedianus,Notorynchus,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Sevengilled shark,perlo,Heptranchias,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Seychelles flying fox,seychellensis,Pteropus,Pteropodidae,Chiroptera,Mammalia,Chordata
Seychelles mud turtle,seychellensis,Pelusios,Pelomedusidae,Testudines,Reptilia,Chordata
Seychelles sheath-tailed bat,seychellensis,Coleura,Emballonuridae,Chiroptera,Mammalia,Chordata
Shad lamprey,marinus,Petromyzon,Petromyzontidae,Petromyzontiformes,Cephalaspidomorphi,Chordata
shadowy broad-nosed bat,umbratus,Platyrrhinus,Phyllostomidae,Chiroptera,Mammalia,Chordata
shaggy bat,maximiliani,Centronycteris,Emballonuridae,Chiroptera,Mammalia,Chordata
Shagreen ray,fullonica,Leucoraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
Shagreen ray,fullonica,Leucoraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
Shagreen ray,fullonica,Leucoraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
Shagreen ray,fullonica,Leucoraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
Shagreen ray,fullonica,Leucoraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
Shagreen skate,fullonica,Leucoraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
Shamel's horseshoe bat,shameli,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia,Chordata
Shanghai softshell turtle,swinhoei,Rafetus,Trionychidae,Testudines,Reptilia,Chordata
Shansei vole,shanseius,Eothenomys,Muridae,Rodentia,Mammalia,Chordata
Shark,tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,maximus,Cetorhinus,Cetorhinidae,Lamniformes,Elasmobranchii,Chordata
Shark,albimarginatus,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,amblyrhynchos,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,brachyurus,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,brevipinna,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,falciformis,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,isodon,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,leucas,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,limbatus,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,longimanus,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,melanopterus,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,obscurus,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,obscurus,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,perezi,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,perezi,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,plumbeus,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,porosus,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,signatus,Carcharhinus,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,carcharias,Carcharodon,Lamnidae,Lamniformes,Elasmobranchii,Chordata
Shark,glauca,Prionace,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,lalandii,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark,zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii,Chordata
Shark ray,ancylostoma,Rhina,Rhinobatidae,Rajiformes,Elasmobranchii,Chordata
Shark ray,ancylostoma,Rhina,Rhinobatidae,Rajiformes,Elasmobranchii,Chordata
Shark ray,ancylostoma,Rhina,Rhinobatidae,Rajiformes,Elasmobranchii,Chordata
Shark ray,ancylostoma,Rhina,Rhinobatidae,Rajiformes,Elasmobranchii,Chordata
Shark-ray,djiddensis,Rhynchobatus,Rhinobatidae,Rajiformes,Elasmobranchii,Chordata
Sharp nosed shark,acutus,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharp nosed shark,laticaudus,Scoliodon,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharp snouted sevengill,perlo,Heptranchias,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Sharp-nose mackerel shark,oxyrinchus,Isurus,Lamnidae,Lamniformes,Elasmobranchii,Chordata
Sharp-nosed mackerel shark,oxyrinchus,Isurus,Lamnidae,Lamniformes,Elasmobranchii,Chordata
Sharp-nosed milk shark,acutus,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharp-nosed shark,taylori,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharp-nosed shark,terraenovae,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharp-nosed shark,oxyrinchus,Isurus,Lamnidae,Lamniformes,Elasmobranchii,Chordata
Sharp-nosed shark,oxyrinchus,Isurus,Lamnidae,Lamniformes,Elasmobranchii,Chordata
Sharp-nosed skate,lintea,Dipturus,Rajidae,Rajiformes,Elasmobranchii,Chordata
sharp-nosed tomb bat,georgianus,Taphozous,Emballonuridae,Chiroptera,Mammalia,Chordata
sharp-shinned hawk,striatus,Accipiter,Accipitridae,Ciconiiformes,Aves,Chordata
sharp-tailed grouse,phasianellus,Tympanuchus,Phasianidae,Galliformes,Aves,Chordata
sharp-tailed sandpiper,acuminata,Calidris,Scolopacidae,Ciconiiformes,Aves,Chordata
sharp-tailed snake,tenuis,Contia,Colubridae,Squamata,Reptilia,Chordata
Sharp-tooth smooth hound,dorsalis,Mustelus,Triakidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharpe's grysbok,sharpei,Raphicerus,Bovidae,Artiodactyla,Mammalia,Chordata
Sharpfin houndshark,acutipinna,Triakis,Triakidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharpie shark,galeus,Galeorhinus,Triakidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharpnose guitarfish,granulatus,Rhinobatos,Rhinobatidae,Rajiformes,Elasmobranchii,Chordata
Sharpnose mackerel shark,oxyrinchus,Isurus,Lamnidae,Lamniformes,Elasmobranchii,Chordata
Sharpnose mackerel shark,oxyrinchus,Isurus,Lamnidae,Lamniformes,Elasmobranchii,Chordata
Sharpnose seven-gill shark,perlo,Heptranchias,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Sharpnose sevengill shark,perlo,Heptranchias,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Sharpnose sevengill shark,perlo,Heptranchias,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Sharpnose sevengill shark,perlo,Heptranchias,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Sharpnose sevengill shark,perlo,Heptranchias,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Sharpnose sevengill shark,perlo,Heptranchias,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Sharpnose shark,lalandii,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharpnose shark,porosus,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharpnose shark,porosus,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharpnose shark,porosus,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharpnose shark,porosus,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharpnose shark,porosus,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharpnose shark,porosus,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharpnose skate,oxyrinchus,Dipturus,Rajidae,Rajiformes,Elasmobranchii,Chordata
Sharpnose skate,lintea,Dipturus,Rajidae,Rajiformes,Elasmobranchii,Chordata
Sharpnose smooth hound,dorsalis,Mustelus,Triakidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharpnose stingray,acutirostra,Dasyatis,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
Sharpnose stingray,jenkinsii,Himantura,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
Sharpnose stingray,jenkinsii,Himantura,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
Sharpnose stingray,gerrardi,Himantura,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
Sharpnose stingray,gerrardi,Himantura,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
Sharpnosed ray,freminvillii,Myliobatis,Myliobatidae,Rajiformes,Elasmobranchii,Chordata
Sharpsnout sevengill shark,perlo,Heptranchias,Hexanchidae,Hexanchiformes,Elasmobranchii,Chordata
Sharpsnout stingray,geijskesi,Dasyatis,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
Sharpspine skate,acutispina,Okamejei,Rajidae,Rajiformes,Elasmobranchii,Chordata
Sharptooth houndshark,megalopterus,Triakis,Triakidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharptooth lemon shark,acutidens,Negaprion,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharptooth shark,acutidens,Negaprion,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharptooth smoot-hound,dorsalis,Mustelus,Triakidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharptooth smooth-hound,dorsalis,Mustelus,Triakidae,Carcharhiniformes,Elasmobranchii,Chordata
Sharpwing eagle ray,guttatus,Aetobatus,Myliobatidae,Rajiformes,Elasmobranchii,Chordata
Shasta salamander,shastae,Hydromantes,Plethodontidae,Caudata,Amphibia,Chordata
Shaw's black-backed snake,melanotus,Liophis,Colubridae,Squamata,Reptilia,Chordata
Shaw's jird,shawi,Meriones,Muridae,Rodentia,Mammalia,Chordata
Shaw's shovel nose guitarfish,thouin,Rhinobatos,Rhinobatidae,Rajiformes,Elasmobranchii,Chordata
sheath-tailed bat,semicaudata,Emballonura,Emballonuridae,Chiroptera,Mammalia,Chordata
sheep (feral),aries,Ovis,Bovidae,Artiodactyla,Mammalia,Chordata
sheep frog,variolosus,Hypopachus,Microhylidae,Anura,Amphibia,Chordata
Shenandoah salamander,shenandoah,Plethodon,Plethodontidae,Caudata,Amphibia,Chordata
Shepherd's beaked whale,shepherdi,Tasmacetus,Ziphiidae,Cetacea,Mammalia,Chordata
Sherwood dogfish,sherwoodi,Scymnodalatias,Dalatiidae,Squaliformes,Elasmobranchii,Chordata
Sherwood's dogfish,sherwoodi,Scymnodalatias,Dalatiidae,Squaliformes,Elasmobranchii,Chordata
shield-faced roundleaf bat,lylei,Hipposideros,Rhinolophidae,Chiroptera,Mammalia,Chordata
Shikotan vole,sikotanensis,Clethrionomys,Muridae,Rodentia,Mammalia,Chordata
Shining skate,nitida,Pavoraja,Rajidae,Rajiformes,Elasmobranchii,Chordata
Shinto shrew,shinto,Sorex,Soricidae,Insectivora,Mammalia,Chordata
shiny lizard,bistriata,Mabuya,Scincidae,Squamata,Reptilia,Chordata
Shoebill,rex,Balaeniceps,Pelecanidae,Ciconiiformes,Aves,Chordata
short-beaked common dolphin,delphis,Delphinus,Delphinidae,Cetacea,Mammalia,Chordata
short-beaked saddle-backed dolphin,delphis,Delphinus,Delphinidae,Cetacea,Mammalia,Chordata
short-beaked saddleback dolphin,delphis,Delphinus,Delphinidae,Cetacea,Mammalia,Chordata
short-billed dowitcher,griseus,Limnodromus,Scolopacidae,Ciconiiformes,Aves,Chordata
short-crested spiny-tailed iguana,hemilopha,Ctenosaura,Iguanidae,Squamata,Reptilia,Chordata
short-eared bat,alecto,Cyttarops,Emballonuridae,Chiroptera,Mammalia,Chordata
short-eared dog,microtis,Atelocynus,Canidae,Carnivora,Mammalia,Chordata
short-eared owl,flammeus,Asio,Strigidae,Strigiformes,Aves,Chordata
short-faced mole,moschatus,Scaptochirus,Talpidae,Insectivora,Mammalia,Chordata
Short-finned mako,oxyrinchus,Isurus,Lamnidae,Lamniformes,Elasmobranchii,Chordata
short-finned pilot whale,macrorhynchus,Globicephala,Delphinidae,Cetacea,Mammalia,Chordata
short-headed broad-nosed bat,brachycephalus,Platyrrhinus,Phyllostomidae,Chiroptera,Mammalia,Chordata
short-headed garter snake,brachystoma,Thamnophis,Colubridae,Squamata,Reptilia,Chordata
Short-headed lamprey,mordax,Mordacia,Geotriidae,Petromyzontiformes,Cephalaspidomorphi,Chordata
short-headed roundleaf bat,breviceps,Hipposideros,Rhinolophidae,Chiroptera,Mammalia,Chordata
short-horned lizard,douglassii,Phrynosoma,Phrynosomatidae,Squamata,Reptilia,Chordata
short-horned lizard,douglasii,Phrynosoma,Phrynosomatidae,Squamata,Reptilia,Chordata
short-horned water buffalo,mephistopheles,Bubalus,Bovidae,Artiodactyla,Mammalia,Chordata
Short-nose spurdog,megalops,Squalus,Squalidae,Squaliformes,Elasmobranchii,Chordata
short-nosed harvest mouse,brevirostris,Reithrodontomys,Muridae,Rodentia,Mammalia,Chordata
short-palated fruit bat,argynnis,Casinycteris,Pteropodidae,Chiroptera,Mammalia,Chordata
Short-snouted shovelnose ray,bougainvillii,Aptychotrema,Rhinobatidae,Rajiformes,Elasmobranchii,Chordata
short-snouted spinner dolphin,clymene,Stenella,Delphinidae,Cetacea,Mammalia,Chordata
Short-tail electric ray,monopterygium,Hypnos,Torpedinidae,Torpediniformes,Elasmobranchii,Chordata
Short-tail lantern shark,brachyurus,Etmopterus,Dalatiidae,Squaliformes,Elasmobranchii,Chordata
Short-tail nurse shark,brevicaudatum,Pseudoginglymostoma,Ginglymostomatidae,Orectolobiformes,Elasmobranchii,Chordata
Short-tail nurse shark,brevicaudatum,Pseudoginglymostoma,Ginglymostomatidae,Orectolobiformes,Elasmobranchii,Chordata
Short-tail nurse shark,brevicaudatum,Pseudoginglymostoma,Ginglymostomatidae,Orectolobiformes,Elasmobranchii,Chordata
Short-tail stingray,brevicaudata,Dasyatis,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
Short-tail stingray,brevicaudata,Dasyatis,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
Short-tail stingray,brevicaudata,Dasyatis,Dasyatidae,Rajiformes,Elasmobranchii,Chordata
Short-tail torpedo ray,macneilli,Torpedo,Torpedinidae,Torpediniformes,Elasmobranchii,Chordata
Short-tailed Albatross,albatrus,Phoebastria,Procellariidae,Ciconiiformes,Aves,Chordata
Short-tailed butterfly ray,micrura,Gymnura,Gymnuridae,Rajiformes,Elasmobranchii,Chordata
short-tailed cane mouse,brevicauda,Zygodontomys,Muridae,Rodentia,Mammalia,Chordata
short-tailed gymnure,suillus,Hylomys,Erinaceidae,Insectivora,Mammalia,Chordata
Short-tailed lesser butterfly ray,micrura,Gymnura,Gymnuridae,Rajiformes,Elasmobranchii,Chordata
short-tailed mongoose,brachyurus,Herpestes,Herpestidae,Carnivora,Mammalia,Chordata
Short-tailed river stingray,brachyura,Potamotrygon,Potamotrygonidae,Rajiformes,Elasmobranchii,Chordata
short-tailed roundleaf bat,curtus,Hipposideros,Rhinolophidae,Chiroptera,Mammalia,Chordata
Short-tailed Shearwater,tenuirostris,Puffinus,Procellariidae,Ciconiiformes,Aves,Chordata
short-tailed shrew,brevicauda,Blarina,Soricidae,Insectivora,Mammalia,Chordata
short-tailed shrew tenrec,brevicaudata,Microgale,Tenrecidae,Insectivora,Mammalia,Chordata
short-tailed snake,extenuatum,Stilosoma,Colubridae,Squamata,Reptilia,Chordata
short-toed monitor,flavescens,Varanus,Varanidae,Squamata,Reptilia,Chordata
Shortfin devil ray,kuhlii,Mobula,Myliobatidae,Rajiformes,Elasmobranchii,Chordata
Shortfin mako,oxyrinchus,Isurus,Lamnidae,Lamniformes,Elasmobranchii,Chordata
Shortfin mako,oxyrinchus,Isurus,Lamnidae,Lamniformes,Elasmobranchii,Chordata
